id,path,role,file_count,evidence,verification,conflict,source_notes
b2-main-text,/a/0/0/2,main/system text,495,Direct technical,Unverified,no,"PPRE; Raw DB count"
b2-story-text,/a/0/0/3,story text,676,Corroborated,Unverified,no,"PPRE; B2W2 General ROM Info; Raw DB"
b2-maps,/a/0/0/8,map resources,1065,Corroborated,Unverified,no,"B2W2 General ROM Info; ROM-content cross-reference; Raw DB"
b2-battle-backgrounds,/a/0/1/1,battle backgrounds,572,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-zonedata,/a/0/1/2,ZoneData,1,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-personal,/a/0/1/6,Pokemon personal data,710,Corroborated,Unverified,no,"B2W2 General ROM Info; PPRE; Raw DB"
b2-growth,/a/0/1/7,experience/growth table,8,Direct technical,Unverified,no,"PPRE; Raw DB"
b2-level-moves,/a/0/1/8,level-up learnsets,709,Corroborated,Unverified,no,"B2W2 General ROM Info; PPRE; Raw DB"
b2-evolutions,/a/0/1/9,evolution data,709,Corroborated,Unverified,no,"B2W2 General ROM Info; PPRE; Raw DB"
b2-base-evo,/a/0/2/0,base-evolution/baby lookup,685,Direct technical,Unverified,no,"Legacy PPRE terminology; Raw DB count"
b2-move-data,/a/0/2/1,move data,560,Corroborated,Unverified,no,"B2W2 General ROM Info; PPRE; Raw DB"
b2-item-data,/a/0/2/4,item data,639,Direct technical,Unverified,no,"PPRE; Raw DB"
b2-title-screen,/a/0/2/6,title-screen resources,15,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-start-menu,/a/0/3/0,start-menu sprite/resources,24,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-overworld-sprites,/a/0/4/8,overworld sprites,975,Corroborated,Unverified,no,"ROM-content cross-reference; Raw DB"
b2-scripts,/a/0/5/6,in-game scripts,1289,Corroborated,Unverified,no,"B2W2 General ROM Info; starter/script research; Raw DB"
b2-move-animations,/a/0/6/5,move animations,601,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-trainer-front,/a/0/7/1,animated trainer sprites front/VS,1504,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-trainer-back,/a/0/7/2,animated trainer sprites back/send-out,248,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-trdata,/a/0/9/1,trainer metadata,814,Corroborated,Unverified,yes,"B2W2 General ROM Info; TrainerTyrant; Triple-Battle-Converter; conflicts with legacy PPRE"
b2-trpoke,/a/0/9/2,trainer parties,814,Corroborated,Unverified,yes,"B2W2 General ROM Info; TrainerTyrant; conflicts with legacy PPRE"
b2-facility-banlist,/a/1/0/6,battle-facility/PWT banlist container,38,Single-source technical analysis,Unverified,no,"Project Pokemon technical research; Raw DB count"
b2-egg-moves,/a/1/2/4,egg moves,650,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-overworld-events,/a/1/2/6,overworld/map-event data,616,Corroborated,Unverified,yes,"B2W2 General ROM Info; independent hacking reports; conflicts with legacy PPRE encounter mapping"
b2-encounters,/a/1/2/7,wild encounter tables,135,Corroborated,Unverified,yes,"B2W2 General ROM Info; wild-editing research; Raw DB; conflicts with legacy PPRE"
b2-ingame-trades,/a/1/6/3,in-game trades,31,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-trainer-mugshots,/a/2/6/7,trainer mugshots,76,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-hidden-grotto,/a/2/7/3,Hidden Grotto encounter table,20,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-pokemart,/a/2/8/2,Poke Mart data,80,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-pwt-board,/a/2/9/1,PWT board trainer sprites,472,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-dex-locations,/a/2/9/6,Pokedex in-game location data,58,Direct technical,Unverified,no,"B2W2 General ROM Info; Raw DB"
b2-skb,/skb.narc,unknown,6,Structural only,Unverified,no,"Raw DB; role intentionally unknown"
b2-soundstatus,/soundstatus.narc,unknown,4,Structural only,Unverified,no,"Raw DB; role intentionally unknown"
b2-sdat,/swan_sound_data.sdat,Nintendo DS sound archive/container,TBD,Structural only,Unverified,no,"Raw DB non-NARC root file; internal mapping TBD"
